time,open,high,low,close,tick_volume,spread,real_volume
2023-08-29 11:00:00,1.08066,1.0812,1.08038,1.08042,1887,0,0
2023-08-29 12:00:00,1.08042,1.08063,1.07863,1.07924,2824,0,0
2023-08-29 13:00:00,1.07924,1.0806499999999999,1.07822,1.08039,3670,0,0
2023-08-29 14:00:00,1.08038,1.08502,1.08038,1.0828,8562,0,0
2023-08-29 15:00:00,1.08281,1.0857,1.08261,1.08502,3492,0,0
2023-08-29 16:00:00,1.08501,1.08641,1.08468,1.08627,1966,0,0
2023-08-29 17:00:00,1.08628,1.08769,1.08627,1.08737,2227,0,0
2023-08-29 18:00:00,1.0873599999999999,1.0873599999999999,1.08606,1.08718,1254,0,0
2023-08-29 19:00:00,1.08718,1.08919,1.08695,1.08854,1508,0,0
2023-08-29 20:00:00,1.08853,1.08854,1.08782,1.08782,548,0,0
2023-08-29 21:00:00,1.0879,1.0879,1.08731,1.08774,331,15,0
2023-08-29 22:00:00,1.08774,1.08846,1.08769,1.08846,323,0,0
2023-08-29 23:00:00,1.08838,1.08842,1.08687,1.08692,536,0,0
2023-08-30 00:00:00,1.08692,1.08719,1.08672,1.08699,1195,0,0
2023-08-30 01:00:00,1.08699,1.08723,1.08673,1.08688,1334,0,0
2023-08-30 02:00:00,1.08688,1.08703,1.08638,1.08673,1030,0,0
2023-08-30 03:00:00,1.08673,1.08694,1.08667,1.08692,539,0,0
2023-08-30 04:00:00,1.08692,1.08692,1.08606,1.08607,663,0,0
2023-08-30 05:00:00,1.08607,1.0871,1.08559,1.0866500000000001,1723,0,0
2023-08-30 06:00:00,1.0866500000000001,1.08767,1.08648,1.08691,2180,0,0
2023-08-30 07:00:00,1.08693,1.0873599999999999,1.08588,1.08649,2630,0,0
2023-08-30 08:00:00,1.08648,1.08677,1.08552,1.08674,2738,0,0
2023-08-30 09:00:00,1.0867499999999999,1.08935,1.08662,1.0889,2178,0,0
2023-08-30 10:00:00,1.08891,1.08915,1.08799,1.08905,1841,0,0
2023-08-30 11:00:00,1.08904,1.08916,1.0878700000000001,1.08789,1780,0,0
2023-08-30 12:00:00,1.08789,1.0925799999999999,1.08747,1.09213,6513,0,0
2023-08-30 13:00:00,1.09211,1.09455,1.09132,1.0945,5057,0,0
2023-08-30 14:00:00,1.09449,1.0945,1.09254,1.09289,4798,0,0
2023-08-30 15:00:00,1.09288,1.09344,1.0923,1.09259,2310,0,0
2023-08-30 16:00:00,1.09259,1.09262,1.09183,1.0925799999999999,1830,0,0
2023-08-30 17:00:00,1.09259,1.09328,1.09193,1.09205,1128,0,0
2023-08-30 18:00:00,1.09205,1.09242,1.09168,1.09233,1164,0,0
2023-08-30 19:00:00,1.09234,1.09246,1.09191,1.09217,866,0,0
2023-08-30 20:00:00,1.09217,1.0924,1.0921,1.0922,424,0,0
2023-08-30 21:00:00,1.09226,1.09256,1.09203,1.09244,292,15,0
2023-08-30 22:00:00,1.0925,1.09287,1.0925,1.09268,288,0,0
2023-08-30 23:00:00,1.09259,1.09316,1.0925799999999999,1.09296,277,0,0
2023-08-31 00:00:00,1.09296,1.09341,1.09281,1.09331,957,0,0
2023-08-31 01:00:00,1.09331,1.09395,1.0928,1.09289,1258,0,0
2023-08-31 02:00:00,1.09289,1.09299,1.0921,1.09219,1002,0,0
2023-08-31 03:00:00,1.09219,1.09229,1.09202,1.09205,572,0,0
2023-08-31 04:00:00,1.09205,1.09231,1.09184,1.09186,435,0,0
2023-08-31 05:00:00,1.09186,1.09202,1.09169,1.09179,717,0,0
2023-08-31 06:00:00,1.0918,1.09245,1.09069,1.0907499999999999,2039,0,0
2023-08-31 07:00:00,1.09074,1.09089,1.08899,1.08927,3453,0,0
2023-08-31 08:00:00,1.08926,1.08931,1.08772,1.08781,2381,0,0
2023-08-31 09:00:00,1.08779,1.08808,1.08647,1.08742,3067,0,0
2023-08-31 10:00:00,1.08741,1.08765,1.0863,1.08733,1864,0,0
2023-08-31 11:00:00,1.08733,1.08734,1.08576,1.08683,2040,0,0
2023-08-31 12:00:00,1.08683,1.08849,1.08654,1.08744,5143,0,0
2023-08-31 13:00:00,1.08744,1.08747,1.08403,1.08493,5517,0,0
2023-08-31 14:00:00,1.08494,1.08565,1.08403,1.08548,5027,0,0
2023-08-31 15:00:00,1.08549,1.08591,1.08368,1.0838700000000001,3311,0,0
2023-08-31 16:00:00,1.0838700000000001,1.08441,1.08352,1.0838700000000001,1703,0,0
2023-08-31 17:00:00,1.0838700000000001,1.08517,1.08366,1.0849,1409,0,0
2023-08-31 18:00:00,1.08489,1.08542,1.08438,1.08459,1030,0,0
2023-08-31 19:00:00,1.08458,1.08505,1.08425,1.08434,1153,0,0
2023-08-31 20:00:00,1.08436,1.0847,1.08414,1.08421,540,0,0
2023-08-31 21:00:00,1.08425,1.08433,1.08412,1.08414,268,15,0
2023-08-31 22:00:00,1.08414,1.08439,1.08401,1.0842,252,0,0
2023-08-31 23:00:00,1.08412,1.08452,1.08412,1.08424,345,0,0
2023-09-01 00:00:00,1.08423,1.08449,1.08364,1.08378,983,0,0
2023-09-01 01:00:00,1.08378,1.08542,1.08378,1.08464,1597,0,0
2023-09-01 02:00:00,1.08464,1.0852,1.08419,1.08441,951,0,0
2023-09-01 03:00:00,1.08441,1.0845,1.084,1.08418,738,0,0
2023-09-01 04:00:00,1.08418,1.08472,1.0838,1.08466,677,0,0
2023-09-01 05:00:00,1.08466,1.08486,1.08439,1.08459,801,0,0
2023-09-01 06:00:00,1.08458,1.08496,1.08286,1.08494,2271,0,0
2023-09-01 07:00:00,1.08494,1.08596,1.08448,1.0856,2661,0,0
2023-09-01 08:00:00,1.08561,1.08563,1.08465,1.08485,1859,0,0
2023-09-01 09:00:00,1.08484,1.08559,1.08477,1.08493,1568,0,0
2023-09-01 10:00:00,1.08493,1.085,1.08437,1.08458,1644,0,0
2023-09-01 11:00:00,1.08459,1.085,1.08332,1.08332,1649,0,0
2023-09-01 12:00:00,1.08333,1.08819,1.0832600000000001,1.0864,6702,0,0
2023-09-01 13:00:00,1.08642,1.08811,1.08427,1.08535,7710,0,0
2023-09-01 14:00:00,1.08534,1.08534,1.08043,1.08084,8164,0,0
2023-09-01 15:00:00,1.0808200000000001,1.0808200000000001,1.07863,1.07865,3159,0,0
2023-09-01 16:00:00,1.07865,1.07866,1.07801,1.07839,1536,0,0
2023-09-01 17:00:00,1.0784,1.07891,1.07821,1.07844,882,0,0
2023-09-01 18:00:00,1.07844,1.07846,1.07754,1.07789,890,0,0
2023-09-01 19:00:00,1.07788,1.07805,1.07722,1.07749,969,0,0
2023-09-01 20:00:00,1.0775,1.07774,1.07725,1.07746,505,0,0
2023-09-03 21:00:00,1.07773,1.07781,1.07737,1.07742,186,15,0
2023-09-03 22:00:00,1.07742,1.07762,1.07712,1.07727,287,15,0
2023-09-03 23:00:00,1.07727,1.07765,1.0771,1.07757,338,0,0
2023-09-04 00:00:00,1.07757,1.07801,1.07733,1.0778699999999999,714,0,0
2023-09-04 01:00:00,1.0778699999999999,1.07822,1.07749,1.07765,1156,0,0
2023-09-04 02:00:00,1.07765,1.07873,1.07765,1.07857,935,0,0
2023-09-04 03:00:00,1.07857,1.07871,1.07841,1.07858,562,0,0
2023-09-04 04:00:00,1.07858,1.07871,1.07813,1.07869,456,0,0
2023-09-04 05:00:00,1.07869,1.07904,1.07855,1.07868,824,0,0
2023-09-04 06:00:00,1.07869,1.07942,1.07837,1.07901,1596,0,0
2023-09-04 07:00:00,1.07902,1.08069,1.07889,1.07953,2273,0,0
2023-09-04 08:00:00,1.07953,1.0801,1.0791,1.07978,1552,0,0
2023-09-04 09:00:00,1.07978,1.0801,1.07926,1.07945,1427,0,0
2023-09-04 10:00:00,1.07946,1.08048,1.07935,1.08048,1167,0,0
2023-09-04 11:00:00,1.08048,1.08088,1.07995,1.08002,1019,0,0
2023-09-04 12:00:00,1.08002,1.08016,1.07955,1.07975,1290,0,0
2023-09-04 13:00:00,1.07975,1.08054,1.07953,1.07958,1180,0,0
2023-09-04 14:00:00,1.07958,1.07958,1.07834,1.07844,1215,0,0
2023-09-04 15:00:00,1.07844,1.07996,1.07836,1.07989,982,0,0
2023-09-04 16:00:00,1.07989,1.08001,1.07923,1.0794,429,0,0
2023-09-04 17:00:00,1.0794,1.07962,1.07933,1.0795,178,0,0
2023-09-04 18:00:00,1.0795,1.07964,1.07949,1.07954,151,0,0
2023-09-04 19:00:00,1.07953,1.07954,1.07931,1.0794,166,0,0
2023-09-04 20:00:00,1.0794,1.0796999999999999,1.0794,1.0794,224,0,0
2023-09-04 21:00:00,1.07952,1.07952,1.07925,1.07944,179,15,0
2023-09-04 22:00:00,1.07944,1.07973,1.07939,1.0794,164,15,0
2023-09-04 23:00:00,1.0794,1.07949,1.07913,1.07913,263,0,0
2023-09-05 00:00:00,1.07913,1.07937,1.07888,1.07932,666,0,0
2023-09-05 01:00:00,1.07933,1.07984,1.07854,1.07889,1098,0,0
2023-09-05 02:00:00,1.07888,1.07889,1.07837,1.07873,922,0,0
2023-09-05 03:00:00,1.07874,1.07887,1.07809,1.07885,693,0,0
2023-09-05 04:00:00,1.07885,1.07939,1.07867,1.07922,614,0,0
2023-09-05 05:00:00,1.07922,1.07936,1.07821,1.07858,943,0,0
2023-09-05 06:00:00,1.07859,1.07864,1.0758,1.07666,2591,0,0
2023-09-05 07:00:00,1.07666,1.07717,1.07546,1.07565,3072,0,0
2023-09-05 08:00:00,1.07565,1.07589,1.0742,1.07484,2784,0,0
2023-09-05 09:00:00,1.07484,1.0757,1.07447,1.07483,1705,0,0
2023-09-05 10:00:00,1.07483,1.07492,1.07386,1.07396,1462,0,0
2023-09-05 11:00:00,1.07396,1.07399,1.07294,1.07326,1780,0,0
2023-09-05 12:00:00,1.07327,1.07475,1.07168,1.07441,4307,0,0
2023-09-05 13:00:00,1.07443,1.07486,1.0726,1.07292,4778,0,0
